IdentifierType,IdentifierTypeID,ID,NIMSPEntityID
"Sunlight Lawmaker",1,ALL000091,6373393
"Sunlight Lawmaker",1,ALL000093,6697040
"Sunlight Lawmaker",1,ALL000094,6373626
"Sunlight Lawmaker",1,ALL000099,12997458
"Sunlight Lawmaker",1,ALL000100,6373924
"Sunlight Lawmaker",1,ALL000101,21273378
"Sunlight Lawmaker",1,ALL000103,6668522
"Sunlight Lawmaker",1,ALL000104,12997509
"Sunlight Lawmaker",1,ALL000105,12997452
"Sunlight Lawmaker",1,ALL000107,6381384
"Sunlight Lawmaker",1,ALL000109,12997504
"Sunlight Lawmaker",1,ALL000110,6381355
"Sunlight Lawmaker",1,ALL000111,12997341
"Sunlight Lawmaker",1,ALL000114,12997368
"Sunlight Lawmaker",1,ALL000116,12997346
"Sunlight Lawmaker",1,ALL000118,6688350
"Sunlight Lawmaker",1,ALL000119,12997363
"Sunlight Lawmaker",1,ALL000122,12997429
"Sunlight Lawmaker",1,ALL000123,6375091
"Sunlight Lawmaker",1,ALL000124,6571581
"Sunlight Lawmaker",1,ALL000125,7196786
"Sunlight Lawmaker",1,ALL000126,12997537
"Sunlight Lawmaker",1,ALL000127,6668557
"Sunlight Lawmaker",1,ALL000129,12997419
"Sunlight Lawmaker",1,ALL000130,6668578
"Sunlight Lawmaker",1,ALL000131,12997479
"Sunlight Lawmaker",1,ALL000134,12997481
"Sunlight Lawmaker",1,ALL000135,12997408
"Sunlight Lawmaker",1,ALL000137,12997400
"Sunlight Lawmaker",1,ALL000139,6578072
"Sunlight Lawmaker",1,ALL000141,15881718
"Sunlight Lawmaker",1,ALL000142,15881725
"Sunlight Lawmaker",1,ALL000144,22514259
"Sunlight Lawmaker",1,ALL000145,7246011
"Sunlight Lawmaker",1,ALL000146,16753387
"Sunlight Lawmaker",1,ALL000147,18912711
"Sunlight Lawmaker",1,ALL000148,18912689
"Sunlight Lawmaker",1,ALL000149,18912714
"Sunlight Lawmaker",1,ALL000152,7040628
"Sunlight Lawmaker",1,ALL000153,21346968
"Sunlight Lawmaker",1,ALL000154,21328228
"Sunlight Lawmaker",1,ALL000155,21455718
"Sunlight Lawmaker",1,ALL000157,21529724
"Sunlight Lawmaker",1,ALL000158,21331868
"Sunlight Lawmaker",1,ALL000159,21530421
"Sunlight Lawmaker",1,ALL000160,21466360
"Sunlight Lawmaker",1,ALL000161,21777109
"Sunlight Lawmaker",1,ALL000162,21777641
"Sunlight Lawmaker",1,ALL000163,12997390
"Sunlight Lawmaker",1,ALL000164,21529729
"Sunlight Lawmaker",1,ALL000165,6568015
"Sunlight Lawmaker",1,ALL000167,23593214
"Sunlight Lawmaker",1,ALL000169,21273424
"Sunlight Lawmaker",1,ALL000170,21319088
"Sunlight Lawmaker",1,ALL000171,12997523
"Sunlight Lawmaker",1,ALL000172,21537002
"Sunlight Lawmaker",1,ALL000174,21273391
"Sunlight Lawmaker",1,ALL000175,12997354
"Sunlight Lawmaker",1,ALL000176,21857726
"Sunlight Lawmaker",1,ALL000177,21338974
"Sunlight Lawmaker",1,ALL000178,21273436
"Sunlight Lawmaker",1,ALL000179,21273364
"Sunlight Lawmaker",1,ALL000181,12997381
"Sunlight Lawmaker",1,ALL000182,21530414
"Sunlight Lawmaker",1,ALL000183,21273345
"Sunlight Lawmaker",1,ALL000184,21359222
"Sunlight Lawmaker",1,ALL000185,21338972
"Sunlight Lawmaker",1,ALL000186,7047990
"Sunlight Lawmaker",1,ALL000250,21778135
"Sunlight Lawmaker",1,ALL000251,6688494
"Sunlight Lawmaker",1,ALL000550,12997476
"Sunlight Lawmaker",1,ARL000007,6682604
"Sunlight Lawmaker",1,ARL000010,6578207
"Sunlight Lawmaker",1,ARL000013,6682735
"Sunlight Lawmaker",1,ARL000015,13011072
"Sunlight Lawmaker",1,ARL000020,6475760
"Sunlight Lawmaker",1,ARL000021,6382150
"Sunlight Lawmaker",1,ARL000023,6682731
"Sunlight Lawmaker",1,ARL000024,6500844
"Sunlight Lawmaker",1,ARL000026,6699101
"Sunlight Lawmaker",1,ARL000029,6682690
"Sunlight Lawmaker",1,ARL000031,6675302
"Sunlight Lawmaker",1,ARL000033,6381826
"Sunlight Lawmaker",1,ARL000035,9668272
"Sunlight Lawmaker",1,ARL000036,6682723
"Sunlight Lawmaker",1,ARL000037,6500580
"Sunlight Lawmaker",1,ARL000038,6615664
"Sunlight Lawmaker",1,ARL000040,6458565
"Sunlight Lawmaker",1,ARL000043,12997654
"Sunlight Lawmaker",1,ARL000045,6669707
"Sunlight Lawmaker",1,ARL000047,12997724
"Sunlight Lawmaker",1,ARL000048,6578201
"Sunlight Lawmaker",1,ARL000049,6682594
"Sunlight Lawmaker",1,ARL000055,6682757
"Sunlight Lawmaker",1,ARL000057,9718133
"Sunlight Lawmaker",1,ARL000058,6682744
"Sunlight Lawmaker",1,ARL000059,6682599
"Sunlight Lawmaker",1,ARL000062,12997627
"Sunlight Lawmaker",1,ARL000066,6669720
"Sunlight Lawmaker",1,ARL000068,6500614
"Sunlight Lawmaker",1,ARL000071,6500871
"Sunlight Lawmaker",1,ARL000073,6669733
"Sunlight Lawmaker",1,ARL000074,6488872
"Sunlight Lawmaker",1,ARL000075,6459312
"Sunlight Lawmaker",1,ARL000085,12997656
"Sunlight Lawmaker",1,ARL000086,6682643
"Sunlight Lawmaker",1,ARL000088,6458646
